name,lat,lng,count
university of notre dame,41.704567749999995,-86.23822026017265,2
university of pittsburgh,40.4416941,-79.9900861,3
university of reading,51.45149525,-0.9836342499365378,1
university of southern california,34.0536909,-118.2427666,1
university of texas at austin,30.2711286,-97.7436995,1
university of texas at san antonio,29.4246002,-98.4951405,1
university of virginia,38.029306,-78.4766781,1
university of washington,47.6038321,-122.3300624,5
university of wisconsin-madison,43.074761,-89.3837613,2
university of wisconsinâmadison,43.074761,-89.3837613,1
university of wyoming,41.311367,-105.591101,1
us naval research laboratory,38.8949855,-77.0365708,1
usda-forest products laboratory,43.074761,-89.3837613,1
uw madison,43.074761,-89.3837613,1
vanderbilt university,36.1622296,-86.7743531,1
vanderbilt university medical center,36.1622296,-86.7743531,1
west virginia university institute of technology,38.1803833,-81.3284452,1
western university,38.6476702,-107.0603126,1
yale university,41.3082138,-72.9250518,4
